Gia,Log_Gia,Tuoi_xe,Log_So_Km_da_di,Km_moi_nam,Tuoi_xe_x_Km,TinhTrang_x_XuatXu,LoaiXe_x_PhanKhuc,Vung_mien_code,Thuong_hieu_code,Dong_xe_code,Loai_xe_code,Tinh_trang_code,Xuat_xu_code,Phan_khuc_dung_tich_code
66000000.0,18.005165315142214,1,9.546884034617925,12727.272727272726,9.546884034617925,8,0,1,24,170,1,1,8,0
79500000.0,18.191267592203175,6,10.239995502805316,4590.163934426229,61.4399730168319,8,0,1,12,139,1,1,8,0
37000000.0,17.426428497635523,2,9.392745258631441,5714.285714285714,18.785490517262883,8,0,1,12,172,1,1,8,0
45000000.0,17.622173069956816,6,11.002116507732017,9836.065573770493,66.0126990463921,8,0,1,24,170,1,1,8,0
23000000.0,16.951004817371683,4,10.085850775128717,5853.658536585366,40.34340310051487,3,0,1,37,87,1,1,3,0
7500000.0,15.830413711839864,7,10.12667110305036,3521.1267605633807,70.88669772135252,8,4,1,30,49,2,1,8,2
16000000.0,16.588099342704055,12,11.289794413577894,6611.570247933884,135.47753296293473,7,0,1,12,11,1,1,7,0
7300000.0,15.803385043104912,22,1.0986122886681098,0.09049773755656108,24.169470350698415,8,4,1,12,177,2,1,8,2
7500000.0,15.830413711839864,10,10.463131911491967,3465.3465346534654,104.63131911491968,7,0,1,37,143,2,1,7,0
33000000.0,17.312018149733785,5,9.90353755128617,3921.568627450981,49.51768775643085,7,0,1,12,88,1,1,7,0
19900000.0,16.806230339945976,45,11.502885230075814,2195.121951219512,517.6298353534116,3,0,1,15,48,0,1,3,1
100000000.0,18.420680753952364,20,8.987321812850125,398.0099502487562,179.7464362570025,4,0,1,12,139,1,1,4,0
14800000.0,16.51013780630191,9,9.210440366976517,1098.901098901099,82.89396330278865,9,0,1,30,181,0,1,9,0
18500000.0,16.733281344102608,11,9.90353755128617,1801.801801801802,108.93891306414787,3,0,1,37,57,2,1,3,0
37000000.0,17.426428497635523,1,6.803505257608338,818.1818181818181,6.803505257608338,7,0,1,12,167,1,1,7,0
6000000.0,15.607270193858982,24,12.611541086966115,12448.132780082988,302.6769860871868,8,0,1,14,48,1,1,8,0
11000000.0,16.213405921671733,2,11.156264806643742,33333.33333333333,22.312529613287484,3,0,1,12,11,1,1,3,0
83000000.0,18.234351177809064,3,9.059633754551479,2774.1935483870966,27.17890126365444,5,0,1,12,35,2,1,5,0
33000000.0,17.312018149733785,6,10.203629181337648,4426.229508196721,61.22177508802589,7,0,1,12,167,1,1,7,0
30000000.0,17.216707972959764,9,10.043292972227004,2527.4725274725274,90.38963675004304,4,0,1,24,170,1,1,4,0
65000000.0,17.989897843244528,17,10.545367754151743,2222.222222222222,179.27125182057964,4,0,1,12,139,1,1,4,0
29900000.0,17.21336907180573,3,7.879669914604289,852.258064516129,23.639009743812867,7,0,1,12,172,1,1,7,0
9000000.0,16.012735246411598,10,13.017005083966255,44554.455445544554,130.17005083966257,7,0,1,12,177,2,1,7,0
15000000.0,16.52356082573315,11,8.699681400989514,540.5405405405405,95.69649541088465,7,0,1,12,177,2,1,7,0
31999000.0,17.281215241526684,6,9.210340371976184,1639.1803278688526,55.2620422318571,4,0,1,12,27,0,1,4,0
350000000.0,19.673443715304877,11,9.472781556562168,1171.1711711711712,104.20059712218385,4,0,1,18,2,0,1,4,1
